SoundFile,Pitch,SpectralCentroid,SpectralSpread,SpectralSkewness,SpectralKurtosis,SpectralFlatness,SpectralCrest,SpectralSlope,SpectralDecrease,SpectralRollOff,SpectralVariation,SpectralFlux,HarmonicSpectralDeviation,Tristimulus_1,Tristimulus_2,Tristimulus_3,HarmonicOddToEvenRatio,Inharmonicity,HarmonicEnergy,NoiseEnergy,Noisiness,HarmonicToNoiseEnergy,PartialsToNoiseEnergy
Bellou_a_1,294.792755848602,1988.70548799565,1236.07658212378,0.667606950418554,2.23089609708891,6.13002798571896e-05,0.166798680989045,8.35676790222799e-08,0.0345231147320676,3619.18975289899,0.633051436428841,0.00212601096004336,0.00507599704171237,0.0668331273198761,0.375872580535276,0.545649719091416,1.55359376773475,0.096271184919293,0.0136912304680307,0.0129354341375336,0.464518212827659,1.10189147689818,1.15276830834486
Bellou_a_2,224.575581969588,1191.35886054443,663.951795200426,1.61931938350179,6.37891637873666,1.48294988654162e-09,0.309094594708389,2.96842165157189e-06,0.0190569313009717,3699.39152056882,0.504268802007653,0.00242569246926274,0.0153405364004676,0.0406933931025183,0.542579705422642,0.415294273903243,0.255282981876969,0.109009777443915,0.0367311048353002,0.0311676962885466,0.444084061381406,1.20816463270973,1.25182591982543
Bellou_a_3,215.427333798452,1630.11058868131,1201.95957182308,1.23306315950245,3.56187602365408,0.000384060815997985,0.198526025196014,-8.36464912671892e-07,0.0282771194011047,4306.29760418961,0.743263243076884,0.00239173500494814,0.00671863593963153,0.0585699101769343,0.309561318760747,0.617114157030943,1.28880208828006,0.151516930975542,0.0301443666296986,0.026170194981172,0.439885351187215,1.18558788208602,1.27332232864624
Bellou_a_4,310.702619740722,1215.89488012191,740.676596193732,1.35217472611725,4.91706965593084,0.00135349361267098,0.247988946843661,-1.85375680907344e-06,0.0434306810195384,2603.1356778185,0.789181256709263,0.00449640944226833,0.012191556644957,0.166324311621491,0.609629349036861,0.193926790146013,3.38934477588712,0.12958416906948,0.0401031766877988,0.0514534773333616,0.525263210299031,0.760396480472517,0.903807425291984
Bellou_a_5,326.715387959874,1111.64540883875,576.713488356002,1.66987335095749,6.96303309876434,4.28764796023178e-09,0.394932853209232,4.00449548697573e-06,0.021063971049037,2843.19500859988,0.811465711710216,0.00337383133821196,0.0192271352419676,0.109365554474385,0.719555249689131,0.164711017015073,5.57507844733571,0.0654464372983897,0.0584673493285811,0.0457993021351648,0.433526012731046,1.30560674913448,1.30666666043956
Bellou_a_6,260.515234098543,1775.9462050041,1232.66050194,0.718574237615715,2.08844938886279,3.66643770652651e-07,0.190894063726367,1.14561213476214e-06,0.0275945460350671,4097.53400428705,0.433364667910245,0.00195258262064578,0.00864333453686859,0.113219177750457,0.429531346733756,0.461643892006139,0.49673614123378,0.0892835624413707,0.0156298303206985,0.0154918466085314,0.46196601382563,1.09722375109938,1.16466140380935
Bellou_a_7,197.661844144218,1592.36664146599,1092.82442406273,1.07525428914993,3.04554619772427,5.03221977041918e-06,0.175879445747253,6.80630175676318e-07,0.0224372417886389,4058.62600518477,0.620753402519414,0.00161788765335276,0.00520563599584874,0.0836183543188181,0.222544191151169,0.691747891189433,1.78816598216483,0.126711712306154,0.0117825500876958,0.0132774728277644,0.471400846703172,1.01461936161953,1.12133687708387
Bellou_a_8,395.437895227828,1537.10933910004,874.147105922819,1.63441348519071,6.02349663543939,3.46988983123124e-07,0.236644312696034,4.64126558865793e-07,0.0234691196399361,3633.13001765702,0.709727657762483,0.00187451585260058,0.0053593465010438,0.125523811971624,0.769554810478148,0.0956719666669321,0.45885616891038,0.130978731763452,0.00683922212387242,0.0158779447712371,0.534923006119379,0.447248960807956,0.869441652682858
Bellou_e_1,348.550510141995,1309.9472534779,843.727551450164,1.25216597112342,4.68745295833771,1.57084085114145e-07,0.246429255645355,3.9016555319791e-07,0.0438114968010909,3141.05941447964,0.35789264416913,0.00390179763471613,0.0111509915485929,0.168943511866913,0.501870299192858,0.319980438774964,1.82067074467648,0.078482379801689,0.0292642933400705,0.0259566831806441,0.443712960725986,1.23983069299952,1.25370924113607
Bellou_e_2,392.139708777864,1267.91887918302,737.753480750615,1.45780479047035,5.39065150555478,1.01999006759198e-11,0.353223140405742,5.4805682525889e-06,0.0171813657247178,4146.79549070689,0.20225599156304,0.00159718532442292,0.0147670660382416,0.127342893601368,0.701246931796521,0.166382209167546,0.286482156845101,0.0753204173821601,0.0372790646921106,0.0306184335772566,0.435610406761092,1.29017984211923,1.29562945219719
Bellou_e_3,196.523395694505,1218.40467744424,888.227658144127,1.3527684598276,4.69500508380274,2.936058025625e-06,0.245916854214292,-3.26648808721178e-07,0.0289700040852703,4005.08965425604,0.611334090554235,0.00236094200194426,0.00579425076332169,0.131503666367583,0.508874088582825,0.294666337741895,0.764571153357941,0.15691403375203,0.0147628561881751,0.0185206035223758,0.474285283728712,0.81360782761836,1.10843610384822
